raw\gen\time/time_elapsed,raw\gen\rollout/ep_rew_mean,raw\gen\rollout/ep_len_mean,raw\gen\time/iterations,raw\gen\time/total_timesteps,raw\gen\time/fps,raw\gen\train/approx_kl,raw\gen\train/clip_fraction,raw\gen\train/policy_gradient_loss,raw\gen\train/n_updates,raw\gen\rollout/ep_rew_wrapped_mean,raw\gen\train/loss,raw\gen\train/value_loss,raw\gen\train/entropy_loss,raw\gen\train/explained_variance,raw\gen\train/clip_range,raw\gen\train/learning_rate
3,20.695652173913043,20.695652173913043,1,960,299,,,,,,,,,,,
2,24.189873417721518,24.189873417721518,1,1920,641,0.011338239,0.13635416666666667,-0.01687772955124577,10,15.05653649698133,0.5541853904724121,0.9723612361152967,-0.6852860462665558,0.0046509504318237305,0.2,0.0003
2,27.52,27.52,1,2880,1114,0.012514219,0.1290625,-0.02719423937300841,20,17.587555441675306,0.061869166791439056,0.3304877281188965,-0.6565987781683604,0.25357723236083984,0.2,0.0003
3,32.8,32.8,1,3840,1163,0.015982253,0.15135416666666668,-0.027926632054150104,30,19.902114380002022,0.12706777453422546,0.3474996664126714,-0.6194784979025523,0.4426719546318054,0.2,0.0003
2,39.79,39.79,1,4800,1896,0.018979946,0.17375,-0.026285946797579528,40,24.00790751159191,0.082224540412426,0.2916054728627205,-0.5881371319293975,0.5813908576965332,0.2,0.0003
2,47.52,47.52,1,5760,2581,0.013884965,0.14552083333333332,-0.01918187242622177,50,28.886050750017166,0.08051420748233795,0.17642791961630186,-0.5636894309520721,0.7423531115055084,0.2,0.0003
2,55.34,55.34,1,6720,3125,0.010937831,0.08916666666666667,-0.013647298589348792,60,34.4160722643137,0.017037421464920044,0.07304121142874162,-0.5684094337622324,0.8708389848470688,0.2,0.0003
1,63.63,63.63,1,7680,4004,0.0059166914,0.075625,-0.009852763215700786,70,39.9920231962204,0.023437311872839928,0.05625625116129716,-0.5584450511137644,0.923047810792923,0.2,0.0003
2,70.95,70.95,1,8640,3649,0.015381918,0.1596875,-0.017827616110444068,80,45.513723500967025,-0.016090482473373413,0.042499864002068836,-0.5273401749134063,0.9461859539151192,0.2,0.0003
2,78.08,78.08,1,9600,4711,0.009452846,0.0584375,-0.00585259043922027,90,50.59523755818606,0.00924588367342949,0.05822376720607281,-0.5431324195861816,0.8663904070854187,0.2,0.0003
2,84.92,84.92,1,10560,5254,0.008230332,0.03229166666666667,-0.008321694433689117,100,56.32852138727903,-0.019438529387116432,0.051183256233731905,-0.5473349531491597,0.8072986006736755,0.2,0.0003
1,92.69,92.69,1,11520,5908,0.002149871,0.03333333333333333,-0.00404704046746095,110,61.899299019277095,-0.0027242228388786316,0.047461585017542045,-0.5281315249204636,0.869030088186264,0.2,0.0003
1,99.29,99.29,1,12480,6410,0.008396478,0.07020833333333333,-0.003846794683486223,120,68.12915954679251,0.011597998440265656,0.018760188641026618,-0.5299337653319041,0.959481593221426,0.2,0.0003
2,105.84,105.84,1,13440,6045,0.008259011,0.0603125,-0.0050813716215391954,130,72.89938550621271,0.03747622296214104,0.008315886218721667,-0.5163873273134232,0.9784705806523561,0.2,0.0003
1,111.98,111.98,1,14400,7579,0.0073262136,0.09739583333333333,-0.008402989249055585,140,78.30905853003263,-0.007433438673615456,0.010679289841403565,-0.5114120515187581,0.9855697751045227,0.2,0.0003
2,119.19,119.19,1,15360,7669,0.009123656,0.12895833333333334,-0.01195337086295088,150,83.11356656283141,-0.0265245009213686,0.007713794729982813,-0.5002978714307149,0.9896407788619399,0.2,0.0003
1,126.74,126.74,1,16320,8426,0.003145685,0.11083333333333334,-0.008738975195835033,160,88.94251588493586,-0.025585977360606194,0.011784608031933506,-0.48361650784810384,0.9870649380609393,0.2,0.0003
2,133.19,133.19,1,17280,8543,0.013393932,0.09833333333333333,-0.00819046334673961,170,94.6588259395957,0.06339709460735321,0.012220048882688085,-0.470927032828331,0.9866950931027532,0.2,0.0003
1,140.35,140.35,1,18240,9264,0.0030153983,0.058541666666666665,-0.005690508522093296,180,98.82640746921301,-0.006315968465059996,0.008573503405787051,-0.46877708435058596,0.9809541422873735,0.2,0.0003
1,146.77,146.77,1,19200,9816,0.0106998235,0.16177083333333334,-0.013046606853604316,190,104.17003062933684,-0.016079116612672806,0.004046481418578575,-0.4572084238131841,0.9942163983359933,0.2,0.0003
1,153.8,153.8,1,20160,10627,0.0065166755,0.14895833333333333,-0.01147790415212512,200,108.94450856357813,-0.02636094205081463,0.003349915994331241,-0.44949445645014446,0.9953810074366629,0.2,0.0003
1,158.65,158.65,1,21120,11312,0.0094374,0.0890625,-0.009556780476123095,210,114.95210800558328,-0.009273925796151161,0.011176077240767579,-0.4488782636324565,0.986182140186429,0.2,0.0003
2,162.55,162.55,1,22080,10031,0.009531363,0.13739583333333333,-0.010345533117651939,220,118.58706753224135,-0.019964808598160744,0.013565570492452632,-0.4477251136302948,0.9825659766793251,0.2,0.0003
2,166.25,166.25,1,23040,11402,0.00583948,0.12052083333333333,-0.007453354795773824,230,123.25624029070138,0.04173637181520462,0.028965785171215733,-0.4345718449354172,0.908840648829937,0.2,0.0003
1,172.12,172.12,1,24000,12098,0.01665734,0.17302083333333335,-0.017335692929724852,240,128.8201178947091,-0.03607942909002304,0.007508674073421086,-0.4500165788332621,0.9879668764770031,0.2,0.0003
2,178.83,178.83,1,24960,12267,0.0060803695,0.03895833333333333,-0.004553136774338782,250,136.03464626163245,0.0346020944416523,0.15223687467475733,-0.4671686118841171,0.1259371042251587,0.2,0.0003
2,183.56,183.56,1,25920,12878,0.0040890644,0.016354166666666666,-0.0016020694623390833,260,142.13444580703973,0.014946674928069115,0.11340149555355311,-0.5081265503168106,0.39892858266830444,0.2,0.0003
1,189.47,189.47,1,26880,13701,0.0044164318,0.05479166666666667,-0.004957400957743327,270,146.58859927266838,-0.004460806958377361,0.06569482645019889,-0.5193538586298625,0.7374448180198669,0.2,0.0003
2,194.97,194.97,1,27840,12983,0.0038352415,0.033229166666666664,-0.0035336795697609585,280,153.07257331937552,0.025715220719575882,0.048572762282565234,-0.5034450401862463,0.8487954884767532,0.2,0.0003
1,198.19,198.19,1,28800,14785,0.008439766,0.0503125,-0.007656332217156887,290,157.94221056967973,-0.0014537656679749489,0.02211193224725624,-0.5394011294841766,0.9217364862561226,0.2,0.0003
1,201.76,201.76,1,29760,14927,0.0018129827,0.037395833333333336,-0.005486492495983839,300,160.75040662914515,0.09750612080097198,0.044074073086182275,-0.5048090563217799,0.8848425447940826,0.2,0.0003
2,204.59,204.59,1,30720,12963,0.01664053,0.09822916666666667,-0.00948561506345868,310,164.0526392093301,0.0031951256096363068,0.009829540016750495,-0.5365538797775904,0.9754009395837784,0.2,0.0003
1,210.01,210.01,1,31680,15882,0.0044124816,0.03833333333333333,-0.0032985310008128484,320,166.98149480432272,0.056027982383966446,0.029538756717617312,-0.5484558053811391,0.94584159553051,0.2,0.0003
2,211.35,211.35,1,32640,14656,0.005734853,0.049375,-0.008919937356064717,330,170.96901478916408,-0.002877965569496155,0.01763430405097703,-0.5232836822668712,0.9721086844801903,0.2,0.0003
2,210.87,210.87,1,33600,16728,0.005694714,0.07166666666666667,-0.006863351923724016,340,173.04334144562483,-0.0009113568812608719,0.018464147249857586,-0.4913087256749471,0.9779498819261789,0.2,0.0003
2,214.14,214.14,1,34560,15258,0.010464517,0.11302083333333333,-0.012371830108265081,350,172.91974702507258,-0.005775991827249527,0.021109521173251173,-0.4904790868361791,0.9693081974983215,0.2,0.0003
