raw\disc\disc_acc_gen,raw\disc\disc_loss,raw\disc\disc_proportion_expert_true,raw\disc\global_step,raw\disc\disc_acc,raw\disc\disc_entropy,raw\disc\disc_acc_expert,raw\disc\disc_proportion_expert_pred,raw\disc\n_generated,raw\disc\n_expert
0.0,0.6959329843521118,0.5,1,0.5,-2.4521427154541016,1.0,1.0,32.0,32.0
0.03125,0.6949872970581055,0.5,1,0.515625,-2.33492374420166,1.0,0.984375,32.0,32.0
0.0,0.6979701519012451,0.5,2,0.5,-2.0774598121643066,1.0,1.0,32.0,32.0
0.0,0.6961610913276672,0.5,2,0.5,-1.9546458721160889,1.0,1.0,32.0,32.0
0.03125,0.6915372014045715,0.5,3,0.515625,-1.812369465827942,1.0,0.984375,32.0,32.0
0.0625,0.6903054714202881,0.5,3,0.53125,-1.701467514038086,1.0,0.96875,32.0,32.0
0.0625,0.6856725215911865,0.5,4,0.53125,-1.4894042015075684,1.0,0.96875,32.0,32.0
0.15625,0.684287965297699,0.5,4,0.578125,-1.3204801082611084,1.0,0.921875,32.0,32.0
0.25,0.679542064666748,0.5,5,0.625,-1.1840078830718994,1.0,0.875,32.0,32.0
0.3125,0.678891658782959,0.5,5,0.65625,-1.0696139335632324,1.0,0.84375,32.0,32.0
0.40625,0.6785153150558472,0.5,6,0.703125,-1.0027657747268677,1.0,0.796875,32.0,32.0
0.53125,0.6701220870018005,0.5,6,0.765625,-0.8227421045303345,1.0,0.734375,32.0,32.0
0.34375,0.6777247786521912,0.5,7,0.671875,-0.8534132838249207,1.0,0.828125,32.0,32.0
0.6875,0.6603273153305054,0.5,7,0.84375,-0.7115381956100464,1.0,0.65625,32.0,32.0
0.5625,0.6662404537200928,0.5,8,0.78125,-0.7412945032119751,1.0,0.71875,32.0,32.0
0.59375,0.6655892133712769,0.5,8,0.796875,-0.7492440938949585,1.0,0.703125,32.0,32.0
