raw\disc\disc_acc,raw\disc\disc_acc_gen,raw\disc\disc_proportion_expert_pred,raw\disc\disc_acc_expert,raw\disc\disc_proportion_expert_true,raw\disc\global_step,raw\disc\n_generated,raw\disc\n_expert,raw\disc\disc_entropy,raw\disc\disc_loss
0.453125,0.875,0.078125,0.03125,0.5,2,32.0,32.0,0.23656803369522095,0.7001375555992126
0.5,0.96875,0.03125,0.03125,0.5,2,32.0,32.0,0.28586557507514954,0.6972403526306152
0.5,0.90625,0.09375,0.09375,0.5,4,32.0,32.0,0.19245490431785583,0.6862221956253052
0.546875,0.875,0.171875,0.21875,0.5,4,32.0,32.0,0.15929463505744934,0.6964453458786011
0.546875,0.84375,0.203125,0.25,0.5,6,32.0,32.0,0.16091066598892212,0.6888986825942993
0.5,0.6875,0.3125,0.3125,0.5,6,32.0,32.0,0.07371637225151062,0.6892908811569214
0.59375,0.59375,0.5,0.59375,0.5,8,32.0,32.0,-0.0272844135761261,0.6936755776405334
0.6875,0.8125,0.375,0.5625,0.5,8,32.0,32.0,-0.006320662796497345,0.6866413950920105
0.578125,0.6875,0.390625,0.46875,0.5,10,32.0,32.0,-0.05188336968421936,0.6857171654701233
0.53125,0.625,0.40625,0.4375,0.5,10,32.0,32.0,-0.10410144925117493,0.6917198896408081
0.515625,0.46875,0.546875,0.5625,0.5,12,32.0,32.0,-0.24226394295692444,0.693426251411438
0.46875,0.5,0.46875,0.4375,0.5,12,32.0,32.0,-0.1954711377620697,0.6956794261932373
